ModelGeography,SubGeography1,SubGeography2,Year,CC+OPC+PPC+PSC+LC3
INDIA,SR,KA,2035,0.980322995
INDIA,SR,KA,2036,1.065878437
INDIA,SR,KA,2037,1.158897882
INDIA,SR,KA,2038,1.260032201
INDIA,SR,KA,2039,1.369988991
INDIA,SR,KA,2040,1.489537508
INDIA,SR,KA,2041,1.619514041
INDIA,SR,KL,2022,0.005613442
INDIA,SR,KL,2023,0.005932358
INDIA,SR,KL,2024,0.006252037
INDIA,SR,KL,2025,0.006888909
INDIA,SR,KL,2026,0.007582479
INDIA,SR,KL,2027,0.008335896
INDIA,SR,KL,2028,0.009158897
INDIA,SR,KL,2029,0.010063134
INDIA,SR,KL,2030,0.011056623
INDIA,SR,KL,2031,0.01214817
INDIA,SR,KL,2032,0.013330692
INDIA,SR,KL,2033,0.014591919
INDIA,SR,KL,2034,0.015932622
INDIA,SR,KL,2035,0.017352997
INDIA,SR,KL,2036,0.01886744
INDIA,SR,KL,2037,0.020514006
INDIA,SR,KL,2038,0.022304215
INDIA,SR,KL,2039,0.024250594
INDIA,SR,KL,2040,0.026366759
INDIA,SR,KL,2041,0.028667513
INDIA,SR,TN,2022,0.260277229
INDIA,SR,TN,2023,0.275064349
INDIA,SR,TN,2024,0.289886833
INDIA,SR,TN,2025,0.319416541
INDIA,SR,TN,2026,0.35157514
INDIA,SR,TN,2027,0.386508684
INDIA,SR,TN,2028,0.424668599
INDIA,SR,TN,2029,0.466595151
INDIA,SR,TN,2030,0.51266002
INDIA,SR,TN,2031,0.563271552
INDIA,SR,TN,2032,0.618101321
INDIA,SR,TN,2033,0.676580348
INDIA,SR,TN,2034,0.73874443
INDIA,SR,TN,2035,0.804602649
INDIA,SR,TN,2036,0.8748225
INDIA,SR,TN,2037,0.951168451
INDIA,SR,TN,2038,1.034174707
INDIA,SR,TN,2039,1.124422029
INDIA,SR,TN,2040,1.222541785
INDIA,SR,TN,2041,1.329220362
INDIA,SR,TS,2022,0.20805839
INDIA,SR,TS,2023,0.219878803
INDIA,SR,TS,2024,0.231727485
INDIA,SR,TS,2025,0.255332714
INDIA,SR,TS,2026,0.281039405
INDIA,SR,TS,2027,0.30896431
INDIA,SR,TS,2028,0.339468286
INDIA,SR,TS,2029,0.372983208
INDIA,SR,TS,2030,0.409806185
INDIA,SR,TS,2031,0.450263638
INDIA,SR,TS,2032,0.494093033
INDIA,SR,TS,2033,0.540839544
INDIA,SR,TS,2034,0.590531785
INDIA,SR,TS,2035,0.643177016
INDIA,SR,TS,2036,0.699308815
INDIA,SR,TS,2037,0.760337649
INDIA,SR,TS,2038,0.826690545
INDIA,SR,TS,2039,0.898831748
INDIA,SR,TS,2040,0.977265957
INDIA,SR,TS,2041,1.062541849
INDIA,ER,OD,2022,0.095858045
INDIA,ER,OD,2023,0.101304024
INDIA,ER,OD,2024,0.106763028
INDIA,ER,OD,2025,0.117638586
INDIA,ER,OD,2026,0.129482344
INDIA,ER,OD,2027,0.142348092
INDIA,ER,OD,2028,0.156402087
INDIA,ER,OD,2029,0.171843304
INDIA,ER,OD,2030,0.188808631
INDIA,ER,OD,2031,0.207448458
INDIA,ER,OD,2032,0.227641828
INDIA,ER,OD,2033,0.249179191
INDIA,ER,OD,2034,0.272073731
INDIA,ER,OD,2035,0.296328792
INDIA,ER,OD,2036,0.322190208
INDIA,ER,OD,2037,0.350307818
INDIA,ER,OD,2038,0.380878366
INDIA,ER,OD,2039,0.414115741
INDIA,ER,OD,2040,0.450252471
INDIA,ER,OD,2041,0.489541347
INDIA,ER,JH,2022,0.08623266
INDIA,ER,JH,2023,0.091131793
INDIA,ER,JH,2024,0.096042642
INDIA,ER,JH,2025,0.105826154
INDIA,ER,JH,2026,0.116480646
INDIA,ER,JH,2027,0.128054506
INDIA,ER,JH,2028,0.140697299
INDIA,ER,JH,2029,0.154588019
INDIA,ER,JH,2030,0.169849808
INDIA,ER,JH,2031,0.186617956
INDIA,ER,JH,2032,0.204783651
INDIA,ER,JH,2033,0.224158385
INDIA,ER,JH,2034,0.244754018
INDIA,ER,JH,2035,0.266573558
INDIA,ER,JH,2036,0.289838154
INDIA,ER,JH,2037,0.315132393
INDIA,ER,JH,2038,0.342633263
INDIA,ER,JH,2039,0.372533177
INDIA,ER,JH,2040,0.405041313
INDIA,ER,JH,2041,0.440385079
INDIA,ER,WB,2022,0.158509522
INDIA,ER,WB,2023,0.167514917
INDIA,ER,WB,2024,0.176541849
INDIA,ER,WB,2025,0.19452552
INDIA,ER,WB,2026,0.214110192
INDIA,ER,WB,2027,0.235384813
INDIA,ER,WB,2028,0.258624302
INDIA,ER,WB,2029,0.284157683
INDIA,ER,WB,2030,0.312211311
INDIA,ER,WB,2031,0.343033867
INDIA,ER,WB,2032,0.376425342
INDIA,ER,WB,2033,0.412039225
INDIA,ER,WB,2034,0.449897315
INDIA,ER,WB,2035,0.490005145
INDIA,ER,WB,2036,0.53276922
INDIA,ER,WB,2037,0.579264107
INDIA,ER,WB,2038,0.629815137
INDIA,ER,WB,2039,0.684775995
INDIA,ER,WB,2040,0.744531186
INDIA,ER,WB,2041,0.809498723
INDIA,ER,SK,2022,0
INDIA,ER,SK,2023,0
INDIA,ER,SK,2024,0
INDIA,ER,SK,2025,0
INDIA,ER,SK,2026,0
INDIA,ER,SK,2027,0
INDIA,ER,SK,2028,0
INDIA,ER,SK,2029,0
INDIA,ER,SK,2030,0
INDIA,ER,SK,2031,0
INDIA,ER,SK,2032,0
INDIA,ER,SK,2033,0
INDIA,ER,SK,2034,0
INDIA,ER,SK,2035,0
INDIA,ER,SK,2036,0
INDIA,ER,SK,2037,0
INDIA,ER,SK,2038,0
INDIA,ER,SK,2039,0
INDIA,ER,SK,2040,0
INDIA,ER,SK,2041,0
INDIA,ER,BR,2022,0.068826063
INDIA,ER,BR,2023,0.072736276
INDIA,ER,BR,2024,0.07665584
INDIA,ER,BR,2025,0.084464489
INDIA,ER,BR,2026,0.092968305
INDIA,ER,BR,2027,0.102205911
INDIA,ER,BR,2028,0.112296677
INDIA,ER,BR,2029,0.123383469
INDIA,ER,BR,2030,0.135564572
INDIA,ER,BR,2031,0.148947965
INDIA,ER,BR,2032,0.163446802
INDIA,ER,BR,2033,0.178910626
INDIA,ER,BR,2034,0.195348902
INDIA,ER,BR,2035,0.212764033
INDIA,ER,BR,2036,0.231332526
INDIA,ER,BR,2037,0.251520966
INDIA,ER,BR,2038,0.273470616
INDIA,ER,BR,2039,0.297335046
INDIA,ER,BR,2040,0.323281214
INDIA,ER,BR,2041,0.351490622
INDIA,NER,NE,2022,0.101458166
INDIA,NER,NE,2023,0.107222305
INDIA,NER,NE,2024,0.113000229
INDIA,NER,NE,2025,0.124511147
INDIA,NER,NE,2026,0.137046829
INDIA,NER,NE,2027,0.150664206
INDIA,NER,NE,2028,0.16553925
INDIA,NER,NE,2029,0.181882558
INDIA,NER,NE,2030,0.199839016
INDIA,NER,NE,2031,0.2195678
INDIA,NER,NE,2032,0.240940887
INDIA,NER,NE,2033,0.263736484
INDIA,NER,NE,2034,0.287968545
INDIA,NER,NE,2035,0.313640611
INDIA,NER,NE,2036,0.341012876
INDIA,NER,NE,2037,0.370773144
INDIA,NER,NE,2038,0.403129653
INDIA,NER,NE,2039,0.438308788
INDIA,NER,NE,2040,0.476556661
INDIA,NER,NE,2041,0.518140832
INDIA,NER,AS,2022,0
INDIA,NER,AS,2023,0
INDIA,NER,AS,2024,0
INDIA,NER,AS,2025,0
INDIA,NER,AS,2026,0
INDIA,NER,AS,2027,0
INDIA,NER,AS,2028,0
INDIA,NER,AS,2029,0
INDIA,NER,AS,2030,0
INDIA,NER,AS,2031,0
INDIA,NER,AS,2032,0
INDIA,NER,AS,2033,0
INDIA,NER,AS,2034,0
INDIA,NER,AS,2035,0
INDIA,NER,AS,2036,0
INDIA,NER,AS,2037,0
INDIA,NER,AS,2038,0
INDIA,NER,AS,2039,0
INDIA,NER,AS,2040,0
INDIA,NER,AS,2041,0
