ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,NumInstances
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,2022,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,2023,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,2024,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,2025,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,2026,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,2027,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,2028,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,2029,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,2030,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,2031,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,WR,CG,2021,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,WR,CG,2022,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,WR,CG,2023,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,WR,CG,2024,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,WR,CG,2025,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,WR,CG,2026,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,WR,CG,2027,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,WR,CG,2028,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,WR,CG,2029,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,WR,CG,2030,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,WR,CG,2031,2.444308284
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,2021,2.641820675
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,2022,2.641820675
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,2023,2.641820675
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,2024,2.641820675
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,2025,2.641820675
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,2026,2.995122012
