Year,ModelGeography,SubGeography1,SubGeography2,OPC+PPC+PSC+CC+LC3
2031,INDIA,ER,JH,3.184844129
2032,INDIA,ER,JH,3.275783383
2033,INDIA,ER,JH,3.367717751
2034,INDIA,ER,JH,3.462147019
2035,INDIA,ER,JH,3.55910177
2036,INDIA,ER,JH,3.658679885
2037,INDIA,ER,JH,3.760942452
2038,INDIA,ER,JH,3.867951176
2039,INDIA,ER,JH,3.978310662
2040,INDIA,ER,JH,4.092114311
2041,INDIA,ER,JH,4.209461026
2022,INDIA,ER,WB,4.279757094
2023,INDIA,ER,WB,4.522902674
2024,INDIA,ER,WB,4.766629929
2025,INDIA,ER,WB,4.913277893
2026,INDIA,ER,WB,5.064110157
2027,INDIA,ER,WB,5.215655919
2028,INDIA,ER,WB,5.368811432
2029,INDIA,ER,WB,5.526224874
2030,INDIA,ER,WB,5.688000969
2031,INDIA,ER,WB,5.854256594
2032,INDIA,ER,WB,6.021417593
2033,INDIA,ER,WB,6.190407772
2034,INDIA,ER,WB,6.36398398
2035,INDIA,ER,WB,6.542202432
2036,INDIA,ER,WB,6.725243049
2037,INDIA,ER,WB,6.913218121
2038,INDIA,ER,WB,7.109917396
2039,INDIA,ER,WB,7.312775911
2040,INDIA,ER,WB,7.52196535
2041,INDIA,ER,WB,7.737667518
2022,INDIA,ER,SK,0
2023,INDIA,ER,SK,0
2024,INDIA,ER,SK,0
2025,INDIA,ER,SK,0
2026,INDIA,ER,SK,0
2027,INDIA,ER,SK,0
2028,INDIA,ER,SK,0
2029,INDIA,ER,SK,0
2030,INDIA,ER,SK,0
2031,INDIA,ER,SK,0
2032,INDIA,ER,SK,0
2033,INDIA,ER,SK,0
2034,INDIA,ER,SK,0
2035,INDIA,ER,SK,0
2036,INDIA,ER,SK,0
2037,INDIA,ER,SK,0
2038,INDIA,ER,SK,0
2039,INDIA,ER,SK,0
2040,INDIA,ER,SK,0
2041,INDIA,ER,SK,0
2022,INDIA,ER,BR,1.858303712
2023,INDIA,ER,BR,1.963879408
2024,INDIA,ER,BR,2.069707672
2025,INDIA,ER,BR,2.133383355
2026,INDIA,ER,BR,2.198875893
2027,INDIA,ER,BR,2.264678238
2028,INDIA,ER,BR,2.33117955
2029,INDIA,ER,BR,2.399529686
2030,INDIA,ER,BR,2.469774121
2031,INDIA,ER,BR,2.541963602
2032,INDIA,ER,BR,2.614546204
2033,INDIA,ER,BR,2.68792305
2034,INDIA,ER,BR,2.763291186
2035,INDIA,ER,BR,2.840675019
2036,INDIA,ER,BR,2.920152674
2037,INDIA,ER,BR,3.001772908
2038,INDIA,ER,BR,3.087181258
2039,INDIA,ER,BR,3.175263998
2040,INDIA,ER,BR,3.266095675
2041,INDIA,ER,BR,3.359755228
2022,INDIA,NER,NE,2.739370477
2023,INDIA,NER,NE,2.895002165
2024,INDIA,NER,NE,3.05100617
2025,INDIA,NER,NE,3.144872036
2026,INDIA,NER,NE,3.241416172
2027,INDIA,NER,NE,3.338417001
2028,INDIA,NER,NE,3.436448193
2029,INDIA,NER,NE,3.537204784
2030,INDIA,NER,NE,3.640753806
2031,INDIA,NER,NE,3.747170067
2032,INDIA,NER,NE,3.854165838
2033,INDIA,NER,NE,3.962332422
2034,INDIA,NER,NE,4.073434414
2035,INDIA,NER,NE,4.187507796
