InstYear,EnergyConvTechFiltered,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,OutputFromECTiyUsingImpInput
2025,EG_COAL,2025,SUMMER,ALLDAYS,EARLY,INDIA,NR,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,EARLY,INDIA,SR,13.922999999999998
2025,EG_COAL,2025,SUMMER,ALLDAYS,EARLY,INDIA,NER,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,MORN,INDIA,ER,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,MORN,INDIA,WR,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,MORN,INDIA,NR,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,MORN,INDIA,SR,13.922999999999998
2025,EG_COAL,2025,SUMMER,ALLDAYS,MORN,INDIA,NER,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,MID,INDIA,ER,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,MID,INDIA,WR,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,MID,INDIA,NR,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,MID,INDIA,SR,13.922999999999998
2025,EG_COAL,2025,SUMMER,ALLDAYS,MID,INDIA,NER,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,13.922999999999998
2025,EG_COAL,2025,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,EVENING,INDIA,ER,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,EVENING,INDIA,WR,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,EVENING,INDIA,NR,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,EVENING,INDIA,SR,18.564
2025,EG_COAL,2025,SUMMER,ALLDAYS,EVENING,INDIA,NER,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,NIGHT,INDIA,ER,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,NIGHT,INDIA,WR,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,NIGHT,INDIA,NR,0.0
2025,EG_COAL,2025,SUMMER,ALLDAYS,NIGHT,INDIA,SR,37.128
2025,EG_COAL,2025,SUMMER,ALLDAYS,NIGHT,INDIA,NER,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,EARLY,INDIA,ER,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,EARLY,INDIA,WR,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,EARLY,INDIA,NR,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,EARLY,INDIA,SR,13.922999999999998
2025,EG_COAL,2025,MONSOON,ALLDAYS,EARLY,INDIA,NER,0.0
2025,EG_COAL,2025,MONSOON,ALLDAYS,MORN,INDIA,ER,0.0
