ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,EfficiencyLevelName,Year,SplitShare
LIGHT_ELEC,URBAN,Q2,INDIA,NER,NE,CFL,2026,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NER,NE,CFL,2027,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NER,NE,CFL,2028,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NER,NE,CFL,2029,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NER,NE,CFL,2030,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NER,NE,CFL,2031,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NER,NE,CFL,2021,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NER,NE,CFL,2022,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NER,NE,CFL,2023,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NER,NE,CFL,2024,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NER,NE,CFL,2025,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NER,NE,CFL,2026,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NER,NE,CFL,2027,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NER,NE,CFL,2028,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NER,NE,CFL,2029,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NER,NE,CFL,2030,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NER,NE,CFL,2031,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,AP,LED,2021,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,SR,AP,LED,2022,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,SR,AP,LED,2023,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,SR,AP,LED,2024,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,SR,AP,LED,2025,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,SR,AP,LED,2026,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,SR,AP,LED,2027,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,SR,AP,LED,2028,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,SR,AP,LED,2029,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,SR,AP,LED,2030,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,SR,AP,LED,2031,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,SR,AP,LED,2021,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,SR,AP,LED,2022,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,SR,AP,LED,2023,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,SR,AP,LED,2024,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,SR,AP,LED,2025,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,SR,AP,LED,2026,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,SR,AP,LED,2027,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,SR,AP,LED,2028,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,SR,AP,LED,2029,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,SR,AP,LED,2030,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,SR,AP,LED,2031,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,NER,AS,LED,2021,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,NER,AS,LED,2022,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,NER,AS,LED,2023,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,NER,AS,LED,2024,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,NER,AS,LED,2025,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,NER,AS,LED,2026,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,NER,AS,LED,2027,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,NER,AS,LED,2028,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,NER,AS,LED,2029,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,NER,AS,LED,2030,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,NER,AS,LED,2031,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,NER,AS,LED,2021,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,NER,AS,LED,2022,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,NER,AS,LED,2023,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,NER,AS,LED,2024,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,NER,AS,LED,2025,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,NER,AS,LED,2026,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,NER,AS,LED,2027,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,NER,AS,LED,2028,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,NER,AS,LED,2029,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,NER,AS,LED,2030,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,NER,AS,LED,2031,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,ER,BR,LED,2021,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,ER,BR,LED,2022,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,ER,BR,LED,2023,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,ER,BR,LED,2024,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,ER,BR,LED,2025,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,ER,BR,LED,2026,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,ER,BR,LED,2027,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,ER,BR,LED,2028,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,ER,BR,LED,2029,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,ER,BR,LED,2030,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,ER,BR,LED,2031,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,LED,2021,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,LED,2022,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,LED,2023,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,LED,2024,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,LED,2025,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,LED,2026,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,LED,2027,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,LED,2028,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,LED,2029,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,LED,2030,0.619117647
LIGHT_ELEC,RURAL,Q2,INDIA,ER,BR,LED,2031,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,WR,CG,LED,2021,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,WR,CG,LED,2022,0.619117647
LIGHT_ELEC,URBAN,Q2,INDIA,WR,CG,LED,2023,0.619117647
