EnergyService,ServiceTech,EnergyCarrier,Year,EmissionType,DomEmissionFactor,ImpEmissionFactor
CEMENT,PPC_Norm,,2032,GHG,317.5507207,317.5507207
CEMENT,PPC_CCUS,,2032,GHG,31.75507207,31.75507207
CEMENT,PSC_Norm,,2032,GHG,171.1820604,171.1820604
CEMENT,PSC_CCUS,,2032,GHG,17.11820604,17.11820604
CEMENT,CC_Norm,,2032,GHG,207.7637638,207.7637638
CEMENT,LC3_Norm,,2032,GHG,264.5988482,264.5988482
CEMENT,OPC_Norm,,2033,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2033,GHG,50.27378115,50.27378115
CEMENT,PPC_Norm,,2033,GHG,315.1221835,315.1221835
CEMENT,PPC_CCUS,,2033,GHG,31.51221835,31.51221835
CEMENT,PSC_Norm,,2033,GHG,167.7793988,167.7793988
CEMENT,PSC_CCUS,,2033,GHG,16.77793988,16.77793988
CEMENT,CC_Norm,,2033,GHG,205.129045,205.129045
CEMENT,LC3_Norm,,2033,GHG,264.5988482,264.5988482
CEMENT,OPC_Norm,,2034,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2034,GHG,50.27378115,50.27378115
CEMENT,PPC_Norm,,2034,GHG,312.7122191,312.7122191
CEMENT,PPC_CCUS,,2034,GHG,31.27122191,31.27122191
CEMENT,PSC_Norm,,2034,GHG,164.4443734,164.4443734
CEMENT,PSC_CCUS,,2034,GHG,16.44443734,16.44443734
CEMENT,CC_Norm,,2034,GHG,202.5277379,202.5277379
CEMENT,LC3_Norm,,2034,GHG,264.5988482,264.5988482
CEMENT,OPC_Norm,,2035,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2035,GHG,50.27378115,50.27378115
CEMENT,PPC_Norm,,2035,GHG,310.3206854,310.3206854
CEMENT,PPC_CCUS,,2035,GHG,31.03206854,31.03206854
CEMENT,PSC_Norm,,2035,GHG,161.1756397,161.1756397
CEMENT,PSC_CCUS,,2035,GHG,16.11756397,16.11756397
CEMENT,CC_Norm,,2035,GHG,199.9594189,199.9594189
CEMENT,LC3_Norm,,2035,GHG,264.5988482,264.5988482
CEMENT,OPC_Norm,,2036,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2036,GHG,50.27378115,50.27378115
CEMENT,PPC_Norm,,2036,GHG,307.9474415,307.9474415
