EnergyCarrier,Year,ModelGeographySrc,SubGeography1Src,ModelGeographyDest,SubGeography1Dest,TransitCost
ELECTRICITY,2031,INDIA,SR,INDIA,ER,0.5
ELECTRICITY,2021,INDIA,ER,INDIA,NER,0.4
ELECTRICITY,2022,INDIA,ER,INDIA,NER,0.41
ELECTRICITY,2023,INDIA,ER,INDIA,NER,0.42
ELECTRICITY,2024,INDIA,ER,INDIA,NER,0.43
ELECTRICITY,2025,INDIA,ER,INDIA,NER,0.44
ELECTRICITY,2026,INDIA,ER,INDIA,NER,0.45
ELECTRICITY,2027,INDIA,ER,INDIA,NER,0.46
ELECTRICITY,2028,INDIA,ER,INDIA,NER,0.47
ELECTRICITY,2029,INDIA,ER,INDIA,NER,0.48
ELECTRICITY,2030,INDIA,ER,INDIA,NER,0.49
ELECTRICITY,2031,INDIA,ER,INDIA,NER,0.5
ELECTRICITY,2021,INDIA,NER,INDIA,NR,0.4
ELECTRICITY,2022,INDIA,NER,INDIA,NR,0.41
ELECTRICITY,2023,INDIA,NER,INDIA,NR,0.42
ELECTRICITY,2024,INDIA,NER,INDIA,NR,0.43
ELECTRICITY,2025,INDIA,NER,INDIA,NR,0.44
ELECTRICITY,2026,INDIA,NER,INDIA,NR,0.45
ELECTRICITY,2027,INDIA,NER,INDIA,NR,0.46
ELECTRICITY,2028,INDIA,NER,INDIA,NR,0.47
ELECTRICITY,2029,INDIA,NER,INDIA,NR,0.48
ELECTRICITY,2030,INDIA,NER,INDIA,NR,0.49
ELECTRICITY,2031,INDIA,NER,INDIA,NR,0.5
ELECTRICITY,2021,INDIA,NR,INDIA,SR,0.4
ELECTRICITY,2022,INDIA,NR,INDIA,SR,0.41
ELECTRICITY,2023,INDIA,NR,INDIA,SR,0.42
ELECTRICITY,2024,INDIA,NR,INDIA,SR,0.43
ELECTRICITY,2025,INDIA,NR,INDIA,SR,0.44
ELECTRICITY,2026,INDIA,NR,INDIA,SR,0.45
ELECTRICITY,2027,INDIA,NR,INDIA,SR,0.46
ELECTRICITY,2028,INDIA,NR,INDIA,SR,0.47
ELECTRICITY,2029,INDIA,NR,INDIA,SR,0.48
ELECTRICITY,2030,INDIA,NR,INDIA,SR,0.49
ELECTRICITY,2031,INDIA,NR,INDIA,SR,0.5
ELECTRICITY,2021,INDIA,WR,INDIA,ER,0.4
ELECTRICITY,2022,INDIA,WR,INDIA,ER,0.41
ELECTRICITY,2023,INDIA,WR,INDIA,ER,0.42
ELECTRICITY,2024,INDIA,WR,INDIA,ER,0.43
ELECTRICITY,2025,INDIA,WR,INDIA,ER,0.44
ELECTRICITY,2026,INDIA,WR,INDIA,ER,0.45
ELECTRICITY,2027,INDIA,WR,INDIA,ER,0.46
ELECTRICITY,2028,INDIA,WR,INDIA,ER,0.47
ELECTRICITY,2029,INDIA,WR,INDIA,ER,0.48
ELECTRICITY,2030,INDIA,WR,INDIA,ER,0.49
ELECTRICITY,2031,INDIA,WR,INDIA,ER,0.5
ELECTRICITY,2021,INDIA,SR,INDIA,NER,0.4
ELECTRICITY,2022,INDIA,SR,INDIA,NER,0.41
ELECTRICITY,2023,INDIA,SR,INDIA,NER,0.42
ELECTRICITY,2024,INDIA,SR,INDIA,NER,0.43
ELECTRICITY,2025,INDIA,SR,INDIA,NER,0.44
ELECTRICITY,2026,INDIA,SR,INDIA,NER,0.45
ELECTRICITY,2027,INDIA,SR,INDIA,NER,0.46
ELECTRICITY,2028,INDIA,SR,INDIA,NER,0.47
ELECTRICITY,2029,INDIA,SR,INDIA,NER,0.48
ELECTRICITY,2030,INDIA,SR,INDIA,NER,0.49
ELECTRICITY,2031,INDIA,SR,INDIA,NER,0.5
ELECTRICITY,2021,INDIA,ER,INDIA,NR,0.4
