InstYear,EnergyStorTech,Year,ModelGeography,SubGeography1,StorFixedCost
2030,FOURHR_BATTERY,2031,INDIA,WR,2744.696444
2030,FOURHR_BATTERY,2031,INDIA,NR,2744.696444
2030,FOURHR_BATTERY,2031,INDIA,SR,2744.696444
2030,FOURHR_BATTERY,2031,INDIA,NER,2744.696444
2031,FOURHR_BATTERY,2031,INDIA,ER,2617.092803
2031,FOURHR_BATTERY,2031,INDIA,WR,2617.092803
2031,FOURHR_BATTERY,2031,INDIA,NR,2617.092803
2031,FOURHR_BATTERY,2031,INDIA,SR,2617.092803
2031,FOURHR_BATTERY,2031,INDIA,NER,2617.092803
2020,SIXHR_BATTERY,2021,INDIA,ER,4247.136759
2020,SIXHR_BATTERY,2021,INDIA,WR,4247.136759
2020,SIXHR_BATTERY,2021,INDIA,NR,4247.136759
2020,SIXHR_BATTERY,2021,INDIA,SR,4247.136759
2020,SIXHR_BATTERY,2021,INDIA,NER,4247.136759
2020,SIXHR_BATTERY,2022,INDIA,ER,4247.136759
2020,SIXHR_BATTERY,2022,INDIA,WR,4247.136759
2020,SIXHR_BATTERY,2022,INDIA,NR,4247.136759
2020,SIXHR_BATTERY,2022,INDIA,SR,4247.136759
2020,SIXHR_BATTERY,2022,INDIA,NER,4247.136759
2020,SIXHR_BATTERY,2023,INDIA,ER,4247.136759
2020,SIXHR_BATTERY,2023,INDIA,WR,4247.136759
2020,SIXHR_BATTERY,2023,INDIA,NR,4247.136759
2020,SIXHR_BATTERY,2023,INDIA,SR,4247.136759
2020,SIXHR_BATTERY,2023,INDIA,NER,4247.136759
2020,SIXHR_BATTERY,2024,INDIA,ER,4247.136759
2020,SIXHR_BATTERY,2024,INDIA,WR,4247.136759
2020,SIXHR_BATTERY,2024,INDIA,NR,4247.136759
2020,SIXHR_BATTERY,2024,INDIA,SR,4247.136759
2020,SIXHR_BATTERY,2024,INDIA,NER,4247.136759
2020,SIXHR_BATTERY,2025,INDIA,ER,4247.136759
2020,SIXHR_BATTERY,2025,INDIA,WR,4247.136759
2020,SIXHR_BATTERY,2025,INDIA,NR,4247.136759
2020,SIXHR_BATTERY,2025,INDIA,SR,4247.136759
2020,SIXHR_BATTERY,2025,INDIA,NER,4247.136759
2020,SIXHR_BATTERY,2026,INDIA,ER,4247.136759
2020,SIXHR_BATTERY,2026,INDIA,WR,4247.136759
2020,SIXHR_BATTERY,2026,INDIA,NR,4247.136759
2020,SIXHR_BATTERY,2026,INDIA,SR,4247.136759
2020,SIXHR_BATTERY,2026,INDIA,NER,4247.136759
2020,SIXHR_BATTERY,2027,INDIA,ER,4247.136759
2020,SIXHR_BATTERY,2027,INDIA,WR,4247.136759
2020,SIXHR_BATTERY,2027,INDIA,NR,4247.136759
2020,SIXHR_BATTERY,2027,INDIA,SR,4247.136759
2020,SIXHR_BATTERY,2027,INDIA,NER,4247.136759
2020,SIXHR_BATTERY,2028,INDIA,ER,4247.136759
2020,SIXHR_BATTERY,2028,INDIA,WR,4247.136759
2020,SIXHR_BATTERY,2028,INDIA,NR,4247.136759
2020,SIXHR_BATTERY,2028,INDIA,SR,4247.136759
2020,SIXHR_BATTERY,2028,INDIA,NER,4247.136759
2020,SIXHR_BATTERY,2029,INDIA,ER,4247.136759
2020,SIXHR_BATTERY,2029,INDIA,WR,4247.136759
2020,SIXHR_BATTERY,2029,INDIA,NR,4247.136759
