EnergyConvTech,ModelGeography,SubGeography1,SubGeography2,Year,MaxCapacity,MinCapacity
EG_WIND,INDIA,SR,AP,2024,0.582673318,0
EG_WIND,INDIA,SR,AP,2025,0.971122197,0
EG_WIND,INDIA,SR,AP,2026,1.359571075,0
EG_WIND,INDIA,SR,AP,2027,1.359571075,0
EG_WIND,INDIA,SR,AP,2028,1.359571075,0
EG_WIND,INDIA,SR,AP,2029,1.359571075,0
EG_WIND,INDIA,SR,AP,2030,1.359571075,0
EG_WIND,INDIA,SR,AP,2031,1.359571075,0
EG_WIND,INDIA,NER,AS,2021,0,0
EG_WIND,INDIA,NER,AS,2022,0,0
EG_WIND,INDIA,NER,AS,2023,0,0
EG_WIND,INDIA,NER,AS,2024,0.001913567,0
EG_WIND,INDIA,NER,NE,2021,0,0
EG_WIND,INDIA,NER,NE,2022,0,0
EG_WIND,INDIA,NER,NE,2023,0,0
EG_WIND,INDIA,NER,NE,2024,0.00213915,0
EG_WIND,INDIA,NER,NE,2025,0.00356525,0
EG_WIND,INDIA,NER,NE,2026,0.00499135,0
EG_WIND,INDIA,NER,NE,2027,0.00499135,0
EG_WIND,INDIA,NER,NE,2028,0.00499135,0
EG_WIND,INDIA,NER,NE,2029,0.00499135,0
EG_WIND,INDIA,NER,NE,2030,0.00499135,0
EG_WIND,INDIA,NER,NE,2031,0.00499135,0
EG_WIND,INDIA,NER,AS,2025,0.003189278,0
EG_WIND,INDIA,NER,AS,2026,0.004464989,0
EG_WIND,INDIA,NER,AS,2027,0.004464989,0
EG_WIND,INDIA,NER,AS,2028,0.004464989,0
EG_WIND,INDIA,NER,AS,2029,0.004464989,0
EG_WIND,INDIA,NER,AS,2030,0.004464989,0
EG_WIND,INDIA,NER,AS,2031,0.004464989,0
EG_WIND,INDIA,ER,BR,2021,0,0
EG_WIND,INDIA,ER,BR,2022,0,0
EG_WIND,INDIA,ER,BR,2023,0,0
EG_WIND,INDIA,ER,BR,2024,0.028392353,0
EG_WIND,INDIA,ER,BR,2025,0.047320589,0
EG_WIND,INDIA,ER,BR,2026,0.066248824,0
EG_WIND,INDIA,ER,BR,2027,0.066248824,0
EG_WIND,INDIA,ER,BR,2028,0.066248824,0
EG_WIND,INDIA,ER,BR,2029,0.066248824,0
EG_WIND,INDIA,ER,BR,2030,0.066248824,0
EG_WIND,INDIA,ER,BR,2031,0.066248824,0
EG_WIND,INDIA,WR,CG,2021,0,0
EG_WIND,INDIA,WR,CG,2022,0,0
EG_WIND,INDIA,WR,CG,2023,0,0
EG_WIND,INDIA,WR,CG,2024,0.002706997,0
EG_WIND,INDIA,WR,CG,2025,0.004511662,0
EG_WIND,INDIA,WR,CG,2026,0.006316326,0
EG_WIND,INDIA,WR,CG,2027,0.006316326,0
EG_WIND,INDIA,WR,CG,2028,0.006316326,0
EG_WIND,INDIA,WR,CG,2029,0.006316326,0
EG_WIND,INDIA,WR,CG,2030,0.006316326,0
EG_WIND,INDIA,WR,CG,2031,0.006316326,0
EG_WIND,INDIA,WR,GA,2021,0,0
EG_WIND,INDIA,WR,GA,2022,0,0
EG_WIND,INDIA,WR,GA,2023,0,0
EG_WIND,INDIA,WR,GA,2024,6.22298E-05,0
EG_WIND,INDIA,WR,GA,2025,0.000103716,0
EG_WIND,INDIA,WR,GA,2026,0.000145203,0
EG_WIND,INDIA,WR,GA,2027,0.000145203,0
EG_WIND,INDIA,WR,GA,2028,0.000145203,0
EG_WIND,INDIA,WR,GA,2029,0.000145203,0
EG_WIND,INDIA,WR,GA,2030,0.000145203,0
EG_WIND,INDIA,WR,GA,2031,0.000145203,0
EG_WIND,INDIA,WR,GJ,2021,0.929915545,0.7649
EG_WIND,INDIA,WR,GJ,2022,2.420965643,1.99136
EG_WIND,INDIA,WR,GJ,2023,2.09798138,1.72569
EG_WIND,INDIA,WR,GJ,2024,2.42195,2.42195
EG_WIND,INDIA,WR,GJ,2025,1.848225514,0
EG_WIND,INDIA,WR,GJ,2026,2.58751572,0
EG_WIND,INDIA,WR,GJ,2027,2.58751572,0
EG_WIND,INDIA,WR,GJ,2028,2.58751572,0
EG_WIND,INDIA,WR,GJ,2029,2.58751572,0
EG_WIND,INDIA,WR,GJ,2030,2.58751572,0
EG_WIND,INDIA,WR,GJ,2031,2.58751572,0
EG_WIND,INDIA,NR,HR,2021,0,0
EG_WIND,INDIA,NR,HR,2022,0,0
EG_WIND,INDIA,NR,HR,2023,0,0
