Year,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,EnergyService,ServiceTech,EfficiencyLevelName,EnergyCarrier,SpecificEnergyConsumption
2024,RURAL,INDIA,WR,GJ,RES_LIGHT,LIGHT_ELEC,LED,ELECTRICITY,1.18331E-08
2024,RURAL,INDIA,WR,GJ,RES_REF,FR_DIRECTCOOL,2STARDC,ELECTRICITY,4.6988E-08
2024,RURAL,INDIA,WR,GJ,RES_REF,FR_DIRECTCOOL,3STARDC,ELECTRICITY,4.15369E-08
2024,RURAL,INDIA,WR,GJ,RES_REF,FR_DIRECTCOOL,4STARDC,ELECTRICITY,3.63855E-08
2024,RURAL,INDIA,WR,GJ,RES_REF,FR_FROSTFREE,2STARFF,ELECTRICITY,5.67462E-08
2024,RURAL,INDIA,WR,GJ,RES_REF,FR_FROSTFREE,3STARFF,ELECTRICITY,4.91372E-08
2024,RURAL,INDIA,WR,GJ,RES_REF,FR_FROSTFREE,4STARFF,ELECTRICITY,4.24939E-08
2024,RURAL,INDIA,WR,GJ,RES_COOL,AC,3STARAC,ELECTRICITY,7.07781E-08
2024,RURAL,INDIA,WR,GJ,RES_COOL,AC,4STARAC,ELECTRICITY,6.27447E-08
2024,RURAL,INDIA,WR,GJ,RES_COOL,AC,5STARAC,ELECTRICITY,5.90338E-08
2024,RURAL,INDIA,WR,GJ,RES_COOL,COOLER,AVGCOOLER,ELECTRICITY,1.78704E-07
2024,RURAL,INDIA,WR,GJ,RES_COOL,FAN,AVGFAN,ELECTRICITY,6.75209E-08
2024,RURAL,INDIA,WR,GJ,RES_TV,TV,AVGTV,ELECTRICITY,1.13281E-08
2024,RURAL,INDIA,WR,GJ,RES_COOK,CK_LPG,AVGLPG,LPG,1.68983E-09
2024,RURAL,INDIA,WR,GJ,RES_COOK,CK_INDUCTION,AVGINDUCTION,ELECTRICITY,3.32012E-07
2024,RURAL,INDIA,WR,GJ,RES_COOK,CK_PNG,AVGPNG,NATGAS,1.68983E-09
2024,RURAL,INDIA,WR,GJ,RES_COOK,CK_BIOGAS,AVGBIOGAS,BIOGAS,1.68983E-09
2024,RURAL,INDIA,WR,GJ,RES_COOK,COOKSTOVE_SF,AVGSF,BIOMASS,7.14286E-09
2024,RURAL,INDIA,NR,HP,RES_LIGHT,LIGHT_ELEC,INCAND,ELECTRICITY,0.00000006
2024,RURAL,INDIA,NR,HP,RES_LIGHT,LIGHT_ELEC,LED,ELECTRICITY,1.18353E-08
2024,RURAL,INDIA,NR,HP,RES_REF,FR_DIRECTCOOL,2STARDC,ELECTRICITY,4.79879E-08
2024,RURAL,INDIA,NR,HP,RES_REF,FR_DIRECTCOOL,3STARDC,ELECTRICITY,4.24644E-08
2024,RURAL,INDIA,NR,HP,RES_REF,FR_DIRECTCOOL,4STARDC,ELECTRICITY,3.72331E-08
2024,RURAL,INDIA,NR,HP,RES_REF,FR_FROSTFREE,2STARFF,ELECTRICITY,5.78948E-08
2024,RURAL,INDIA,NR,HP,RES_REF,FR_FROSTFREE,3STARFF,ELECTRICITY,5.0172E-08
2024,RURAL,INDIA,NR,HP,RES_REF,FR_FROSTFREE,4STARFF,ELECTRICITY,4.34136E-08
2024,RURAL,INDIA,NR,HP,RES_COOL,AC,3STARAC,ELECTRICITY,7.07777E-08
