ModelGeography,SubGeography1,SubGeography2,Year,IPT3W+2W+IPT4W+4W+BUS+RAIL
INDIA,SR,TS,2025,39975
INDIA,SR,TS,2026,39975
INDIA,SR,TS,2027,39975
INDIA,SR,TS,2028,39975
INDIA,SR,TS,2029,39975
INDIA,SR,TS,2030,39975
INDIA,SR,TS,2031,39312.74829039804
INDIA,SR,TS,2032,38661.467871024244
INDIA,SR,TS,2033,38020.97698438742
INDIA,SR,TS,2034,37391.09688410855
INDIA,SR,TS,2035,36771.65178503679
INDIA,SR,TS,2036,36162.468814191794
INDIA,SR,TS,2037,35563.37796251885
INDIA,SR,TS,2038,34974.212037443205
INDIA,SR,TS,2039,34394.80661621047
INDIA,SR,TS,2040,33825.00000000001
INDIA,SR,TS,2041,33264.63316879835
INDIA,WR,CG,2014,39975
INDIA,WR,CG,2015,39975
INDIA,WR,CG,2016,39975
INDIA,WR,CG,2017,39975
INDIA,WR,CG,2018,39975
INDIA,WR,CG,2019,39975
INDIA,WR,CG,2020,39975
INDIA,WR,CG,2021,39975
INDIA,WR,CG,2022,39975
INDIA,WR,CG,2023,39975
INDIA,WR,CG,2024,39975
INDIA,WR,CG,2025,39975
INDIA,WR,CG,2026,39975
INDIA,WR,CG,2027,39975
INDIA,WR,CG,2028,39975
INDIA,WR,CG,2029,39975
INDIA,WR,CG,2030,39975
INDIA,WR,CG,2031,39312.74829039804
INDIA,WR,CG,2032,38661.467871024244
INDIA,WR,CG,2033,38020.97698438742
INDIA,WR,CG,2034,37391.09688410855
INDIA,WR,CG,2035,36771.65178503679
INDIA,WR,CG,2036,36162.468814191794
INDIA,WR,CG,2037,35563.37796251885
INDIA,WR,CG,2038,34974.212037443205
INDIA,WR,CG,2039,34394.80661621047
INDIA,WR,CG,2040,33825.00000000001
INDIA,WR,CG,2041,33264.63316879835
INDIA,WR,GA,2014,39975
INDIA,WR,GA,2015,39975
INDIA,WR,GA,2016,39975
INDIA,WR,GA,2017,39975
INDIA,WR,GA,2018,39975
INDIA,WR,GA,2019,39975
INDIA,WR,GA,2020,39975
INDIA,WR,GA,2021,39975
INDIA,WR,GA,2022,39975
INDIA,WR,GA,2023,39975
INDIA,WR,GA,2024,39975
INDIA,WR,GA,2025,39975
INDIA,WR,GA,2026,39975
