EnergyCarrier,EmissionType,DemandSector,EnergyService,ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Emission
PP_OTHER,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2022,292.8806489804692
PP_OTHER,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2023,297.50140193562714
PP_OTHER,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2024,302.19505607452896
PP_OTHER,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2025,306.96276164066836
PP_OTHER,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2026,311.8056868869572
PP_OTHER,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2027,316.72501862623255
PP_OTHER,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2028,321.72196215261346
PP_OTHER,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2029,326.79774202793715
PP_OTHER,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2030,331.9536020817599
PP_OTHER,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2031,337.19080564728813
PP_OTHER,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2021,2188.2492273690264
