EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,FixedTaxOHDEC
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,NR,0.327052793
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,NR,0.327052793
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,NR,0.327052793
ELECTRICITY,2022,SPRING,ALLDAYS,AFTERNOON,INDIA,NR,0.327052793
ELECTRICITY,2022,SPRING,ALLDAYS,EVENING,INDIA,NR,0.327052793
ELECTRICITY,2022,SPRING,ALLDAYS,NIGHT,INDIA,NR,0.327052793
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,SR,0.105202406
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,SR,0.105202406
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,SR,0.105202406
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,0.105202406
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,SR,0.105202406
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,SR,0.105202406
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,SR,0.105202406
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,SR,0.105202406
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,SR,0.105202406
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,SR,0.105202406
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,SR,0.105202406
ELECTRICITY,2022,MONSOON,ALLDAYS,NIGHT,INDIA,SR,0.105202406
ELECTRICITY,2022,AUTUMN,ALLDAYS,EARLY,INDIA,SR,0.105202406
ELECTRICITY,2022,AUTUMN,ALLDAYS,MORN,INDIA,SR,0.105202406
ELECTRICITY,2022,AUTUMN,ALLDAYS,MID,INDIA,SR,0.105202406
ELECTRICITY,2022,AUTUMN,ALLDAYS,AFTERNOON,INDIA,SR,0.105202406
ELECTRICITY,2022,AUTUMN,ALLDAYS,EVENING,INDIA,SR,0.105202406
ELECTRICITY,2022,AUTUMN,ALLDAYS,NIGHT,INDIA,SR,0.105202406
ELECTRICITY,2022,WINTER,ALLDAYS,EARLY,INDIA,SR,0.105202406
ELECTRICITY,2022,WINTER,ALLDAYS,MORN,INDIA,SR,0.105202406
ELECTRICITY,2022,WINTER,ALLDAYS,MID,INDIA,SR,0.105202406
ELECTRICITY,2022,WINTER,ALLDAYS,AFTERNOON,INDIA,SR,0.105202406
ELECTRICITY,2022,WINTER,ALLDAYS,EVENING,INDIA,SR,0.105202406
ELECTRICITY,2022,WINTER,ALLDAYS,NIGHT,INDIA,SR,0.105202406
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,SR,0.105202406
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,SR,0.105202406
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,SR,0.105202406
ELECTRICITY,2022,SPRING,ALLDAYS,AFTERNOON,INDIA,SR,0.105202406
ELECTRICITY,2022,SPRING,ALLDAYS,EVENING,INDIA,SR,0.105202406
ELECTRICITY,2022,SPRING,ALLDAYS,NIGHT,INDIA,SR,0.105202406
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,NER,0.071004708
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,NER,0.071004708
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,NER,0.071004708
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,0.071004708
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,NER,0.071004708
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,NER,0.071004708
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,NER,0.071004708
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,NER,0.071004708
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,NER,0.071004708
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,NER,0.071004708
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,NER,0.071004708
ELECTRICITY,2022,MONSOON,ALLDAYS,NIGHT,INDIA,NER,0.071004708
ELECTRICITY,2022,AUTUMN,ALLDAYS,EARLY,INDIA,NER,0.071004708
ELECTRICITY,2022,AUTUMN,ALLDAYS,MORN,INDIA,NER,0.071004708
ELECTRICITY,2022,AUTUMN,ALLDAYS,MID,INDIA,NER,0.071004708
ELECTRICITY,2022,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NER,0.071004708
ELECTRICITY,2022,AUTUMN,ALLDAYS,EVENING,INDIA,NER,0.071004708
