EnergyConvTech,Year,ModelGeography,SubGeography1,MinCapacity
EG_COAL,2025,INDIA,ER,1.32
EG_COAL,2025,INDIA,NER,0.0
EG_COAL,2025,INDIA,NR,1.32
EG_COAL,2025,INDIA,SR,5.46
EG_COAL,2025,INDIA,WR,0.0
EG_COAL,2026,INDIA,ER,0.0
EG_COAL,2026,INDIA,NER,0.0
EG_COAL,2026,INDIA,NR,0.0
EG_COAL,2026,INDIA,SR,0.0
EG_COAL,2026,INDIA,WR,0.0
EG_COAL,2027,INDIA,ER,0.0
EG_COAL,2027,INDIA,NER,0.0
EG_COAL,2027,INDIA,NR,0.0
EG_COAL,2027,INDIA,SR,0.0
EG_COAL,2027,INDIA,WR,0.0
EG_COAL,2028,INDIA,ER,0.0
EG_COAL,2028,INDIA,NER,0.0
EG_COAL,2028,INDIA,NR,0.0
EG_COAL,2028,INDIA,SR,0.0
EG_COAL,2028,INDIA,WR,0.0
EG_COAL,2029,INDIA,ER,0.0
EG_COAL,2029,INDIA,NER,0.0
EG_COAL,2029,INDIA,NR,0.0
EG_COAL,2029,INDIA,SR,0.0
EG_COAL,2029,INDIA,WR,0.0
EG_COAL,2030,INDIA,ER,0.0
EG_COAL,2030,INDIA,NER,0.0
EG_COAL,2030,INDIA,NR,0.0
EG_COAL,2030,INDIA,SR,0.0
EG_COAL,2030,INDIA,WR,0.0
EG_COAL,2031,INDIA,ER,0.0
EG_COAL,2031,INDIA,NER,0.0
EG_COAL,2031,INDIA,NR,0.0
EG_COAL,2031,INDIA,SR,0.0
EG_COAL,2031,INDIA,WR,0.0
EG_SH,2021,INDIA,ER,0.024005
EG_SH,2021,INDIA,NER,0.0
EG_SH,2021,INDIA,NR,0.0541
EG_SH,2021,INDIA,SR,0.008
EG_SH,2021,INDIA,WR,0.013795
EG_SH,2022,INDIA,ER,0.0
EG_SH,2022,INDIA,NER,0.0
EG_SH,2022,INDIA,NR,0.0
EG_SH,2022,INDIA,SR,0.0
EG_SH,2022,INDIA,WR,0.0
EG_SH,2023,INDIA,ER,0.0
EG_SH,2023,INDIA,NER,0.0
EG_SH,2023,INDIA,NR,0.0
EG_SH,2023,INDIA,SR,0.0
EG_SH,2023,INDIA,WR,0.0
EG_SH,2024,INDIA,ER,0.0
EG_SH,2024,INDIA,NER,0.0
EG_SH,2024,INDIA,NR,0.0
EG_SH,2024,INDIA,SR,0.0
EG_SH,2024,INDIA,WR,0.0
EG_SH,2025,INDIA,ER,0.0
EG_SH,2025,INDIA,NER,0.0
EG_SH,2025,INDIA,NR,0.0
EG_SH,2025,INDIA,SR,0.0
EG_SH,2025,INDIA,WR,0.0
EG_SH,2026,INDIA,ER,0.0
EG_SH,2026,INDIA,NER,0.0
EG_SH,2026,INDIA,NR,0.0
EG_SH,2026,INDIA,SR,0.0
EG_SH,2026,INDIA,WR,0.0
EG_SH,2027,INDIA,ER,0.0
EG_SH,2027,INDIA,NER,0.0
EG_SH,2027,INDIA,NR,0.0
EG_SH,2027,INDIA,SR,0.0
EG_SH,2027,INDIA,WR,0.0
EG_SH,2028,INDIA,ER,0.0
EG_SH,2028,INDIA,NER,0.0
EG_SH,2028,INDIA,NR,0.0
EG_SH,2028,INDIA,SR,0.0
EG_SH,2028,INDIA,WR,0.0
EG_SH,2029,INDIA,ER,0.0
EG_SH,2029,INDIA,NER,0.0
EG_SH,2029,INDIA,NR,0.0
EG_SH,2029,INDIA,SR,0.0
EG_SH,2029,INDIA,WR,0.0
EG_SH,2030,INDIA,ER,0.0
EG_SH,2030,INDIA,NER,0.0
EG_SH,2030,INDIA,NR,0.0
EG_SH,2030,INDIA,SR,0.0
EG_SH,2030,INDIA,WR,0.0
EG_SH,2031,INDIA,ER,0.0
EG_SH,2031,INDIA,NER,0.0
EG_SH,2031,INDIA,NR,0.0
EG_SH,2031,INDIA,SR,0.0
EG_SH,2031,INDIA,WR,0.0
EG_BIOMASS,2021,INDIA,ER,0.0035
EG_BIOMASS,2021,INDIA,NER,0.002
EG_BIOMASS,2021,INDIA,NR,0.16629999999999998
EG_BIOMASS,2021,INDIA,SR,0.04944
EG_BIOMASS,2021,INDIA,WR,0.0707
EG_BIOMASS,2022,INDIA,ER,0.0
EG_BIOMASS,2022,INDIA,NER,0.0
EG_BIOMASS,2022,INDIA,NR,0.0
EG_BIOMASS,2022,INDIA,SR,0.0
EG_BIOMASS,2022,INDIA,WR,0.0
EG_BIOMASS,2023,INDIA,ER,0.0
EG_BIOMASS,2023,INDIA,NER,0.0
EG_BIOMASS,2023,INDIA,NR,0.0
EG_BIOMASS,2023,INDIA,SR,0.0
EG_BIOMASS,2023,INDIA,WR,0.0
EG_BIOMASS,2024,INDIA,ER,0.0
EG_BIOMASS,2024,INDIA,NER,0.0
EG_BIOMASS,2024,INDIA,NR,0.0
EG_BIOMASS,2024,INDIA,SR,0.0
EG_BIOMASS,2024,INDIA,WR,0.0
EG_BIOMASS,2025,INDIA,ER,0.0
EG_BIOMASS,2025,INDIA,NER,0.0
EG_BIOMASS,2025,INDIA,NR,0.0
EG_BIOMASS,2025,INDIA,SR,0.0
EG_BIOMASS,2025,INDIA,WR,0.0
EG_BIOMASS,2026,INDIA,ER,0.0
EG_BIOMASS,2026,INDIA,NER,0.0
EG_BIOMASS,2026,INDIA,NR,0.0
EG_BIOMASS,2026,INDIA,SR,0.0
EG_BIOMASS,2026,INDIA,WR,0.0
EG_BIOMASS,2027,INDIA,ER,0.0
EG_BIOMASS,2027,INDIA,NER,0.0
EG_BIOMASS,2027,INDIA,NR,0.0
EG_BIOMASS,2027,INDIA,SR,0.0
EG_BIOMASS,2027,INDIA,WR,0.0
EG_BIOMASS,2028,INDIA,ER,0.0
EG_BIOMASS,2028,INDIA,NER,0.0
EG_BIOMASS,2028,INDIA,NR,0.0
EG_BIOMASS,2028,INDIA,SR,0.0
EG_BIOMASS,2028,INDIA,WR,0.0
EG_BIOMASS,2029,INDIA,ER,0.0
EG_BIOMASS,2029,INDIA,NER,0.0
EG_BIOMASS,2029,INDIA,NR,0.0
EG_BIOMASS,2029,INDIA,SR,0.0
EG_BIOMASS,2029,INDIA,WR,0.0
EG_BIOMASS,2030,INDIA,ER,0.0
EG_BIOMASS,2030,INDIA,NER,0.0
EG_BIOMASS,2030,INDIA,NR,0.0
EG_BIOMASS,2030,INDIA,SR,0.0
EG_BIOMASS,2030,INDIA,WR,0.0
EG_BIOMASS,2031,INDIA,ER,0.0
EG_BIOMASS,2031,INDIA,NER,0.0
EG_BIOMASS,2031,INDIA,NR,0.0
EG_BIOMASS,2031,INDIA,SR,0.0
EG_BIOMASS,2031,INDIA,WR,0.0
RF_LPG,2021,INDIA,,0.0
RF_LPG,2022,INDIA,,0.110170255
RF_LPG,2023,INDIA,,0.876673947
RF_LPG,2024,INDIA,,0.257845278
RF_LPG,2025,INDIA,,1.125143033
RF_LPG,2026,INDIA,,0.234404799
RF_LPG,2027,INDIA,,0.0
RF_LPG,2028,INDIA,,0.468809597
RF_LPG,2029,INDIA,,0.0
RF_LPG,2030,INDIA,,0.0
RF_LPG,2031,INDIA,,0.33754291
RF_MS,2021,INDIA,,0.0
RF_MS,2022,INDIA,,0.344520044
RF_MS,2023,INDIA,,2.741499926
RF_MS,2024,INDIA,,0.806323508
RF_MS,2025,INDIA,,3.518502579
RF_MS,2026,INDIA,,0.733021371
RF_MS,2027,INDIA,,0.0
RF_MS,2028,INDIA,,1.466042741
RF_MS,2029,INDIA,,0.0
RF_MS,2030,INDIA,,0.0
RF_MS,2031,INDIA,,1.055550774
RF_ATF,2021,INDIA,,0.0
RF_ATF,2022,INDIA,,0.128568603
RF_ATF,2023,INDIA,,1.023077823
RF_ATF,2024,INDIA,,0.300905242
RF_ATF,2025,INDIA,,1.313041056
RF_ATF,2026,INDIA,,0.27355022
RF_ATF,2027,INDIA,,0.0
RF_ATF,2028,INDIA,,0.54710044
RF_ATF,2029,INDIA,,0.0
RF_ATF,2030,INDIA,,0.0
RF_ATF,2031,INDIA,,0.393912317
RF_HSD,2021,INDIA,,0.0
RF_HSD,2022,INDIA,,0.99571469
RF_HSD,2023,INDIA,,7.923346685
RF_HSD,2024,INDIA,,2.330396084
RF_HSD,2025,INDIA,,10.16900109
RF_HSD,2026,INDIA,,2.118541894
RF_HSD,2027,INDIA,,0.0
RF_HSD,2028,INDIA,,4.237083789
RF_HSD,2029,INDIA,,0.0
RF_HSD,2030,INDIA,,0.0
RF_HSD,2031,INDIA,,3.050700328
RF_OTHERPP,2021,INDIA,,0.0
RF_OTHERPP,2022,INDIA,,0.298574818
RF_OTHERPP,2023,INDIA,,2.375893236
RF_OTHERPP,2024,INDIA,,0.698792128
RF_OTHERPP,2025,INDIA,,3.049274742
RF_OTHERPP,2026,INDIA,,0.635265571
RF_OTHERPP,2027,INDIA,,0.0
RF_OTHERPP,2028,INDIA,,1.270531143
RF_OTHERPP,2029,INDIA,,0.0
RF_OTHERPP,2030,INDIA,,0.0
RF_OTHERPP,2031,INDIA,,0.914782423
