Year,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Population,NumConsumers
2039,URBAN,INDIA,WR,MP,30616989,7265874
2034,RURAL,INDIA,SR,KA,35981000,10238617
2040,URBAN,INDIA,WR,MP,30969995,7364163
2035,RURAL,INDIA,SR,KA,35759000,10311357
2041,URBAN,INDIA,WR,MP,31327072,7463782
2036,RURAL,INDIA,SR,KA,35532000,10382752
2021,URBAN,INDIA,WR,GJ,33812000,8530430
2037,RURAL,INDIA,SR,KA,35305000,10454215
2022,URBAN,INDIA,WR,GJ,34660000,8799961
2038,RURAL,INDIA,SR,KA,35091909,10529908
2023,URBAN,INDIA,WR,GJ,35515000,9074363
2039,RURAL,INDIA,SR,KA,34880103,10606149
2024,URBAN,INDIA,WR,GJ,36377000,9353698
2040,RURAL,INDIA,SR,KA,34669576,10682942
2025,URBAN,INDIA,WR,GJ,37247000,9638288
2041,RURAL,INDIA,SR,KA,34460320,10760291
2026,URBAN,INDIA,WR,GJ,38124000,9927941
2027,URBAN,INDIA,WR,GJ,39013000,10224032
2028,URBAN,INDIA,WR,GJ,39913000,10526388
2021,RURAL,INDIA,SR,KL,10593000,2787936
2029,URBAN,INDIA,WR,GJ,40821000,10834298
2022,RURAL,INDIA,SR,KL,9860000,2614055
2030,URBAN,INDIA,WR,GJ,41735000,11147300
2023,RURAL,INDIA,SR,KL,9131000,2438542
2031,URBAN,INDIA,WR,GJ,42656000,11465725
2024,RURAL,INDIA,SR,KL,8414000,2263541
2032,URBAN,INDIA,WR,GJ,43617000,11798568
2025,RURAL,INDIA,SR,KL,7711000,2089636
2033,URBAN,INDIA,WR,GJ,44610000,12143891
2026,RURAL,INDIA,SR,KL,7025000,1917698
2034,URBAN,INDIA,WR,GJ,45608000,12494498
2027,RURAL,INDIA,SR,KL,6351000,1746425
2035,URBAN,INDIA,WR,GJ,46613000,12851001
2028,RURAL,INDIA,SR,KL,5695000,1577523
2036,URBAN,INDIA,WR,GJ,47624000,13213197
2029,RURAL,INDIA,SR,KL,5064000,1413024
2037,URBAN,INDIA,WR,GJ,48634000,13579199
2030,RURAL,INDIA,SR,KL,4457000,1252774
2038,URBAN,INDIA,WR,GJ,49708803,13967530
2031,RURAL,INDIA,SR,KL,3879000,1098307
2039,URBAN,INDIA,WR,GJ,50807358,14366965
2032,RURAL,INDIA,SR,KL,3329000,949493
2040,URBAN,INDIA,WR,GJ,51930192,14777824
2033,RURAL,INDIA,SR,KL,2811000,807631
2041,URBAN,INDIA,WR,GJ,53077839,15200432
2034,RURAL,INDIA,SR,KL,2329000,674055
2021,URBAN,INDIA,WR,MH,59342000,15680233
2035,RURAL,INDIA,SR,KL,1885000,549556
2022,URBAN,INDIA,WR,MH,60183000,16156734
2036,RURAL,INDIA,SR,KL,1479000,434353
2023,URBAN,INDIA,WR,MH,60995000,16636554
2037,RURAL,INDIA,SR,KL,1075000,318022
2024,URBAN,INDIA,WR,MH,61812000,17128974
2038,RURAL,INDIA,SR,KL,868008,258670
2025,URBAN,INDIA,WR,MH,62635000,17634577
2039,RURAL,INDIA,SR,KL,700871,210395
2026,URBAN,INDIA,WR,MH,63463000,18153399
2040,RURAL,INDIA,SR,KL,565918,171129
2027,URBAN,INDIA,WR,MH,64254000,18673552
2041,RURAL,INDIA,SR,KL,456949,139192
2028,URBAN,INDIA,WR,MH,65019000,19198020
2029,URBAN,INDIA,WR,MH,65790000,19736287
2030,URBAN,INDIA,WR,MH,66565000,20288078
2021,RURAL,INDIA,WR,MP,59897000,12898474
2031,URBAN,INDIA,WR,MH,67345000,20854018
2022,RURAL,INDIA,WR,MP,60572000,13156192
2032,URBAN,INDIA,WR,MH,68081000,21419025
2023,RURAL,INDIA,WR,MP,61211000,13409506
2033,URBAN,INDIA,WR,MH,68785000,21986542
2024,RURAL,INDIA,WR,MP,61848000,13665766
2034,URBAN,INDIA,WR,MH,69494000,22568355
